"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789953137735827939","Mon May 13 09:37:38 +0000 2024","0","Iist lagu buat di putar di nikahan - cinta terakhir - bermuara","1789953137735827939","","","in","","1","3","0","https://twitter.com/starrlingling/status/1789953137735827939","1461718714324160516","starrlingling"
"1789946467894866074","Mon May 13 09:11:08 +0000 2024","0","Barusan lewat di reels video ketoprak pake backsound bermuara jd kocak dah Maksudnya ni aku klo denger lagu bermuara vibesnya pengen nikahh. Kalo digabung sama video ketoprak jadi gimanaa gituu wkwkwkwk","1789946467894866074","","","in","","0","0","0","https://twitter.com/rzkamalina/status/1789946467894866074","1309541923992924160","rzkamalina"
"1789720913094549518","Mon May 13 08:54:54 +0000 2024","1","@logikapolitikid Mana berani luh kulitin kaum Nabi Luth. Nanti bermuara ke anak wowo bijimane ","1789942384232366341","","logikapolitikid","in","Johannesburg, South Africa","0","0","0","https://twitter.com/RezimBokek/status/1789942384232366341","1432306391285309443","RezimBokek"
"1789919202960097397","Mon May 13 08:25:54 +0000 2024","0","@kinkaaw bermuara","1789935086046998775","","kinkaaw","in","Ciudad ","0","0","0","https://twitter.com/wirosablengfc/status/1789935086046998775","1300257275005689856","wirosablengfc"
"1789924065215496211","Mon May 13 07:42:06 +0000 2024","0","AKU JUGA PENGEN UP PAKE LAGU BERMUARA TP YA ALLAH LULUS KULIAH DULU","1789924065215496211","","","in","Jember, Jawa Timur","0","0","0","https://twitter.com/bucindrlahir/status/1789924065215496211","1030595937582833664","bucindrlahir"
"1789869073041441162","Mon May 13 04:03:35 +0000 2024","0","Manis bener ini lagunya mahalini sm rizky febian bermuara. Cocok buat di undangan nih ","1789869073041441162","","","in","dreamland","0","1","0","https://twitter.com/katarsismanis/status/1789869073041441162","56422718","katarsismanis"
"1789812630724514111","Mon May 13 04:00:36 +0000 2024","1","@tanyakanrl satu yg aku pikirin cuman 1 ya Allah cantik2 banget merekaaaaaa. happy for #beRMuara pokoknya mah!!! netizen Indonesia kebiasaan gajelas mah huuu.","1789868321333997664","","tanyakanrl","in","","0","0","0","https://twitter.com/allaboutmeliii/status/1789868321333997664","1186564420631031808","allaboutmeliii"
"1789867482905219206","Mon May 13 03:57:16 +0000 2024","0","Kabar bahagia bermuara dari putra bungsu Presiden Joko Widodo (Jokowi) Kaesang Pangarep yang mengabarkan bahwa sang istri Erina Gudono tengah hamil anak pertama. Kabar bahagia itu disampaikan Kaesang melalui akun Instagram priadinya @kaesangp. Ketua Umum Partai Solidaritas https://t.co/JmE6cyWh5D","1789867482905219206","https://pbs.twimg.com/media/GNbi_J1bIAAeOUM.jpg","","in","","0","1","0","https://twitter.com/inversimedia/status/1789867482905219206","1628785344769560576","inversimedia"
"1789866380130435346","Mon May 13 03:52:53 +0000 2024","0","Rizky Febian dan Mahalini rilis single duet mereka nihh Rekan Buana Buat Rekan Buana yang penasaran apa makna dari lagu Bermuara langsung aja dengerin #MusicPrime Sekarangggg‍️","1789866380130435346","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/RadioMercuBuana/status/1789866380130435346","122141146","RadioMercuBuana"
"1789860848380326362","Mon May 13 03:30:54 +0000 2024","0","AU Mandmothdjana Ketika kegelisahan di akun privat masing soal kesetiaan terhadap pasangan mulai merambah lalu apa yang akan terjadi? Kenapa semua bermuara pada Dukun Ajaib satu ini? https://t.co/KTBWEYA7Ng","1789860848380326362","https://pbs.twimg.com/media/GNbc9BrbAAAb4P7.jpg","","in","Air Cawan Spa | GIGI is my religion 😊🙏🏼","0","1","0","https://twitter.com/aircawanboys/status/1789860848380326362","1371107828929159174","aircawanboys"
"1789838347201921446","Mon May 13 03:28:50 +0000 2024","0","@stikkk_03 Rapsodi indah yang kan bermuara difajar haaaaatiii","1789860328026632650","","stikkk_03","in","","0","1","0","https://twitter.com/SaifIkram28/status/1789860328026632650","1615421365762551810","SaifIkram28"
"1789856724729335880","Mon May 13 03:14:31 +0000 2024","0","Wow enak bgt trnyata lagu bermuara ini ","1789856724729335880","","","in","Lop","0","0","0","https://twitter.com/wisnirona/status/1789856724729335880","480940475","wisnirona"
"1789852638130876720","Mon May 13 02:58:17 +0000 2024","0","Bisik kan rayuan Merayu raya bahagia Sayang... perjalanan kita kan berlayar Berlabuh di tujuan yang sama Bermuara di keabadian Alias cover lagu itu dong @_siscasaras_ suara lu pasti enak bgt di lagu itu Bermuara rizkyfebian mahalini ","1789852638130876720","","","in","","0","0","0","https://twitter.com/BkansodaraALDUL/status/1789852638130876720","1481307549836406784","BkansodaraALDUL"
"1789829954802253993","Mon May 13 01:28:09 +0000 2024","0","Lagu bermuara iky sama lini romantis tapi aku belum kesampean. Save dulu buat nanti. HAHA","1789829954802253993","","","in","klan bulan","0","0","0","https://twitter.com/_rumpang/status/1789829954802253993","4787791002","_rumpang"
"1789826525472109004","Mon May 13 01:14:31 +0000 2024","0","JANGAN BILANG BERMUARA KEINGET WINTANG TRUS KAYA DENGERIN 18","1789826525472109004","","","in","'03 ; she/her","0","1","0","https://twitter.com/sonudwin/status/1789826525472109004","1691494213220016128","sonudwin"
"1789822873474912366","Mon May 13 01:00:00 +0000 2024","0","tak sabarnya nak guna lagu bermuara untuk wedding nanti hm mak nak kawin cepat huwaaa","1789822873474912366","","","in","","0","0","0","https://twitter.com/Yh3na/status/1789822873474912366","4272524309","Yh3na"
"1789818227444322441","Mon May 13 00:41:33 +0000 2024","1","sedap betul lagu bermuara ni. ada jugak i godek balik video kahwin and guna lagu ni. Cuteeeeeeeee!!","1789818227444322441","","","in","","0","0","0","https://twitter.com/ftrharffn/status/1789818227444322441","84529812","ftrharffn"
"1789806861237244345","Mon May 13 00:32:05 +0000 2024","0","@sbyfess Kasih andai anganku bersuara dia kan bernyanyi ~ Rapsodi indah yang kan bermuara di fajar hati ~ Masalah e lagu e jekiti angel lek dipakein gitar ngamen apalagi suarane kan jarang seng apik wong-uwong ngamen","1789815845377507582","","sbyfess","in","Babelan, he/him, 24+","0","0","0","https://twitter.com/Florence_Z1/status/1789815845377507582","1692871959623938048","Florence_Z1"
"1789675419295433061","Mon May 13 00:32:00 +0000 2024","0","@idaayuwulandari Coba bermuara nya rizky febian sama mahalini. korban tiktok juga ","1789815824368222326","","idaayuwulandari","in","","0","0","0","https://twitter.com/arsynuansa/status/1789815824368222326","59372526","arsynuansa"
"1789510263701647639","Mon May 13 00:15:16 +0000 2024","0","@vi_eviee Kabarin Ya...kalau Sdh bermuara....","1789811613744156978","","vi_eviee","in","Bogor Barat, Indonesia","0","0","0","https://twitter.com/LOysterina/status/1789811613744156978","1719507983577817088","LOysterina"
"1789809943912350026","Mon May 13 00:08:38 +0000 2024","1","Masih pagi udah sampe ditempat kerja dan dengerin Bermuara feel nya dapet weii tapi gw sama siapaa *bukan bintang tapi susah digapai","1789809943912350026","","","in","","0","0","0","https://twitter.com/benggbengg2501/status/1789809943912350026","1670286475265720320","benggbengg2501"
"1789801741464248487","Sun May 12 23:36:02 +0000 2024","0","Lagu Bermuara Milik Mahalini dan Rizky Febian Mulai Mengudara di Sosmed https://t.co/zPsyp0NW7g","1789801741464248487","","","in","","0","0","0","https://twitter.com/detik_pop/status/1789801741464248487","1668875355141324800","detik_pop"
